,pays,code_pays,annee,nb_personnes
860,Sierra Leone,197,2013,1600000.0
865,Singapour,200,2013,0.0
870,Slovaquie,199,2013,200000.0
875,Slovénie,198,2013,0.0
880,Somalie,201,2013,0.0
885,Soudan,276,2013,8300000.000000001
890,Soudan du Sud,277,2013,0.0
895,Sri Lanka,38,2013,2300000.0
900,Suède,210,2013,0.0
905,Suisse,211,2013,0.0
910,Suriname,207,2013,0.0
915,Tadjikistan,208,2013,0.0
920,Tchad,39,2013,4900000.0
925,Tchéquie (la),167,2013,0.0
930,Thaïlande,216,2013,5600000.0
935,Timor-Leste,176,2013,300000.0
940,Togo,217,2013,1300000.0
945,Tokélaou,218,2013,0.0
950,Tonga,219,2013,0.0
955,Trinité-et-Tobago,220,2013,0.0
960,Tunisie,222,2013,500000.0
965,Turkménistan,213,2013,300000.0
970,Turquie,223,2013,0.0
975,Tuvalu,227,2013,0.0
980,Ukraine,230,2013,0.0
985,Uruguay,234,2013,0.0
990,Vanuatu,155,2013,0.0
995,Venezuela (République bolivarienne du),236,2013,1900000.0
1000,Viet Nam,237,2013,10400000.0
1005,Yémen,249,2013,7200000.0
1010,Zambie,251,2013,7000000.0
1015,Zimbabwe,181,2013,6600000.0
